"No.","Quantity","Comment","Designator","Footprint","Value","Manufacturer Part","Manufacturer","Supplier Part","Supplier"
"1","11","100nF","C1,C2,C3,C4,C5,C19,C20,C21,C22,C23,C24","C0603","100nF","CC0603KRX7R9BB104","YAGEO(国巨)","C14663","LCSC"
"2","2","12pF","C6,C7","C0402","12pF","0402CG120J500NT","FH(风华)","C1547","LCSC"
"3","11","100nF","C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18","C0402","100nF","CL05B104KB54PNC","SAMSUNG(三星)","C307331","LCSC"
"4","4","1uF","C25,C26,C27,C28","C0603","1uF","CL10A105KB8NNNC","SAMSUNG(三星)","C15849","LCSC"
"5","2","10uF","C29,C30","C0805","10uF","CL21A106KAYNNNE","SAMSUNG(三星)","C15850","LCSC"
"6","1","22pF","C31","C0603","22pF","CL10C220JB8NNNC","SAMSUNG(三星)","C1653","LCSC"
"7","2","RClamp0524P.TCT-MS","D1,D2","SLP2510P8_L2.5-W1.0-P0.50-BL","","RClamp0524P.TCT-MS","MSKSEMI(美森科)","C3008054","LCSC"
"8","2","SS34","D3,D4","SMA_L4.3-W2.6-LS5.2-RD","","SS34","MDD(辰达半导体)","C8678","LCSC"
"9","1","HDMI-019S","HDMI1","HDMI-SMD_HDMI-019S","","HDMI-019S","SOFNG(硕方)","C111617","LCSC"
"10","1","2.2uH","L1","IND-SMD_L2.5-W2.0_MHCHL2520","2.2uH","FTC252012S2R2MBCA","cjiang(长江微电)","C5832372","LCSC"
"11","1","XL-1608UGC-04","LED1","LED0603-RD_GREEN","","XL-1608UGC-04","XINGLIGHT(成兴光)","C965804","LCSC"
"12","1","XL-1608UBC-04","LED2","LED0603-RD_BLUE","","XL-1608UBC-04","XINGLIGHT(成兴光)","C965807","LCSC"
"13","1","KT-0603R","LED3","LED-SMD_L1.6-W0.8-R-RD","","KT-0603R","KENTO","C2286","LCSC"
"14","2","1kΩ","R1,R3","R0603","1kΩ","0603WAF1001T5E","UNI-ROYAL(厚声)","C21190","LCSC"
"15","1","4.7kΩ","R2","R0402","4.7kΩ","0402WGF4701TCE","UNI-ROYAL(厚声)","C25900","LCSC"
"16","4","47kΩ","R4,R5,R6,R7","R0402","47kΩ","0402WGF4702TCE","UNI-ROYAL(厚声)","C25792","LCSC"
"17","3","4.7kΩ","R8,R9,R10","R0603","4.7kΩ","0603WAF4701T5E","UNI-ROYAL(厚声)","C23162","LCSC"
"18","2","10kΩ","R11,R18","R0603","10kΩ","0603WAF1002T5E","UNI-ROYAL(厚声)","C25804","LCSC"
"19","4","5.1kΩ","R12,R13,R14,R15","R0603","5.1kΩ","0603WAF5101T5E","UNI-ROYAL(厚声)","C23186","LCSC"
"20","2","100kΩ","R16,R17","R0603","100kΩ","0603WAF1003T5E","UNI-ROYAL(厚声)","C25803","LCSC"
"21","1","MSS12C02LS-HB2.0","SW1","SW-SMD_MSS12C02LS-HB2.0-1","","MSS12C02LS-HB2.0","SHOU HAN(首韩)","C3008584","LCSC"
"22","1","CH343K","U1","ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP","","CH343K","WCH(南京沁恒)","C5832295","LCSC"
"23","1","CH9329","U2","SOP-16_L9.9-W3.9-P1.27-LS6.0-BL","","CH9329","WCH(南京沁恒)","C2838834","LCSC"
"24","1","MS2109","U3","QFN-48_L7.0-W7.0-P0.50-BL-EP5.1","","MS2109","Macrosilicon(宏晶微)","C961325","LCSC"
"25","1","24C16BN(XBLW)","U4","SOIC-8_L4.9-W3.9-P1.27-LS6.0-BL","","24C16BN(XBLW)","XBLW(芯伯乐)","C18723545","LCSC"
"26","2","CH334R","U5,U6","QSOP-16_L4.9-W3.9-P0.64-LS6.0-BL","","CH334R","WCH(南京沁恒)","C4154405","LCSC"
"27","1","CH442E","U7","MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL","","CH442E","WCH(南京沁恒)","C150097","LCSC"
"28","2","ME6211A33M3G-N","U8,U9","SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR","","ME6211A33M3G-N","MICRONE(南京微盟)","C168807","LCSC"
"29","1","TLV62568DBVR","U10","SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR","","TLV62568DBVR","TI(德州仪器)","C163219","LCSC"
"30","2","TYPE-C 16PIN 2MD(073)","USB1,USB2","USB-C-SMD_TYPE-C-16PIN-2MD-073","","TYPE-C 16PIN 2MD(073)","SHOU HAN(首韩)","C2765186","LCSC"
"31","1","AF 90° WJDG","USB3","USB-A-TH_AF-WJDG","","AF 90° WJDG","SHOU HAN(首韩)","C456018","LCSC"
"32","1","24MHz","X1","CRYSTAL-SMD_4P-L3.2-W2.5-BL","24MHz","X322524MOB4SI","YXC(扬兴晶振)","C70590","LCSC"
"33","2","12MHz","X2,X3","CRYSTAL-SMD_4P-L3.2-W2.5-BL","12MHz","X322512MOB4SI","YXC(扬兴晶振)","C70565","LCSC"
