"Designator","Device","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Pins","Layer","Rotation","SMD","Comment","Name"
"D3","SS34_C8678","SMA_L4.3-W2.6-LS5.2-RD","9.017mm","18.161mm","9.017mm","18.161mm","9.017mm","15.961mm","2","T","90","Yes","SS34","SS34"
"D4","SS34_C8678","SMA_L4.3-W2.6-LS5.2-RD","43.307mm","27.178mm","43.307mm","27.178mm","41.107mm","27.178mm","2","T","0","Yes","SS34","SS34"
"HDMI1","HDMI-019S","HDMI-SMD_HDMI-019S","47.464mm","14.512mm","47.464mm","14.512mm","44.048mm","19.013mm","23","T","90","No","HDMI-019S","HDMI-019S"
"L1","FTC252012S2R2MBCA","IND-SMD_L2.5-W2.0_MHCHL2520","8.89mm","12.446mm","8.89mm","12.446mm","9.89mm","12.446mm","2","T","180","Yes","2.2uH","2.2uH"
"LED1","XL-1608UGC-04","LED0603-RD_GREEN","26.99mm","47.879mm","26.99mm","47.879mm","26.191mm","47.876mm","2","T","0","Yes","XL-1608UGC-04","XL-1608UGC-04"
"LED2","XL-1608UBC-04","LED0603-RD_BLUE","32.99mm","47.879mm","32.99mm","47.879mm","32.241mm","47.875mm","2","T","0","Yes","XL-1608UBC-04","XL-1608UBC-04"
"SW1","MSS12C02LS-HB2.0","SW-SMD_MSS12C02LS-HB2.0-1","41.529mm","47.625mm","41.529mm","47.625mm","39.279mm","46.2mm","7","T","0","Yes","MSS12C02LS-HB2.0","MSS12C02LS-HB2.0"
"U1","CH343K","ESSOP-10_L4.9-W3.9-P1.0-LS6.0-TL-EP","22.746mm","32.995mm","22.746mm","32.995mm","20.746mm","29.994mm","11","T","0","Yes","CH343K","CH343K"
"U2","CH9329_C2838834","SOP-16_L9.9-W3.9-P1.27-LS6.0-BL","30.734mm","31.496mm","30.734mm","31.496mm","27.965mm","35.941mm","16","T","270","Yes","CH9329","CH9329"
"U3","MS2109","QFN-48_L7.0-W7.0-P0.50-BL-EP5.1","34.887mm","16.513mm","34.887mm","16.513mm","31.459mm","19.263mm","49","T","270","Yes","MS2109","MS2109"
"U5","CH334R","QSOP-16_L4.9-W3.9-P0.64-LS6.0-BL","15.494mm","24.892mm","15.494mm","24.892mm","18.21mm","22.652mm","16","T","90","Yes","CH334R","CH334R"
"U6","CH334R","QSOP-16_L4.9-W3.9-P0.64-LS6.0-BL","40.894mm","37.211mm","40.894mm","37.211mm","38.178mm","39.451mm","16","T","270","Yes","CH334R","CH334R"
"U7","CH442E","MSOP-10_L3.0-W3.0-P0.50-LS5.0-BL","16.383mm","39.116mm","16.383mm","39.116mm","15.383mm","37.006mm","10","T","0","Yes","CH442E","CH442E"
"U8","ME6211A33M3G-N","SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR","18.568mm","4.802mm","18.568mm","4.802mm","19.803mm","3.853mm","3","T","0","Yes","ME6211A33M3G-N","ME6211A33M3G-N"
"U9","ME6211A33M3G-N","SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR","18.542mm","9.017mm","18.542mm","9.017mm","19.777mm","8.067mm","3","T","0","Yes","ME6211A33M3G-N","ME6211A33M3G-N"
"USB1","TYPE-C 16PIN 2MD(073)","USB-C-SMD_TYPE-C-16PIN-2MD-073","3.501mm","22.132mm","3.501mm","22.132mm","1.126mm","26.457mm","16","T","270","No","TYPE-C 16PIN 2MD(073)","TYPE-C 16PIN 2MD(073)"
"USB2","TYPE-C 16PIN 2MD(073)","USB-C-SMD_TYPE-C-16PIN-2MD-073","50.48mm","36.509mm","50.48mm","36.509mm","52.855mm","32.184mm","16","T","90","No","TYPE-C 16PIN 2MD(073)","TYPE-C 16PIN 2MD(073)"
"USB3","AF 90° WJDG","USB-A-TH_AF-WJDG","10.155mm","39.049mm","10.155mm","39.049mm","11.51mm","42.549mm","6","T","270","No","AF 90° WJDG","AF 90° WJDG"
"X1","X322524MOB4SI","CRYSTAL-SMD_4P-L3.2-W2.5-BL","28.103mm","22.529mm","28.103mm","22.529mm","28.28mm","23.908mm","4","T","225","Yes","24MHz","24MHz"
"X2","X322512MOB4SI","CRYSTAL-SMD_4P-L3.2-W2.5-BL","15.494mm","19.939mm","15.494mm","19.939mm","14.394mm","19.089mm","4","T","0","Yes","12MHz","12MHz"
"X3","X322512MOB4SI","CRYSTAL-SMD_4P-L3.2-W2.5-BL","40.894mm","42.291mm","40.894mm","42.291mm","41.994mm","43.141mm","4","T","180","Yes","12MHz","12MHz"
"LED3","KT-0603R","LED-SMD_L1.6-W0.8-R-RD","20.99mm","47.879mm","20.99mm","47.879mm","21.74mm","47.879mm","2","T","0","Yes","KT-0603R","KT-0603R"
"C8","CL05B104KB54PNC","C0402","34.137mm","21.971mm","34.137mm","21.971mm","34.137mm","22.391mm","2","T","270","Yes","100nF","100nF"
"C9","CL05B104KB54PNC","C0402","29.083mm","15.113mm","29.083mm","15.113mm","28.663mm","15.113mm","2","T","0","Yes","100nF","100nF"
"C10","CL05B104KB54PNC","C0402","29.083mm","13.843mm","29.083mm","13.843mm","28.663mm","13.843mm","2","T","0","Yes","100nF","100nF"
"C11","CL05B104KB54PNC","C0402","40.387mm","10.667mm","40.387mm","10.667mm","40.807mm","10.667mm","2","T","180","Yes","100nF","100nF"
"C12","CL05B104KB54PNC","C0402","35.637mm","21.971mm","35.637mm","21.971mm","35.637mm","22.391mm","2","T","270","Yes","100nF","100nF"
"C13","CL05B104KB54PNC","C0402","39.243mm","21.336mm","39.243mm","21.336mm","39.243mm","21.756mm","2","T","270","Yes","100nF","100nF"
"C14","CL05B104KB54PNC","C0402","41.783mm","21.336mm","41.783mm","21.336mm","41.783mm","21.756mm","2","T","270","Yes","100nF","100nF"
"C15","CL05B104KB54PNC","C0402","36.576mm","10.668mm","36.576mm","10.668mm","36.576mm","10.248mm","2","T","90","Yes","100nF","100nF"
"C16","CL05B104KB54PNC","C0402","32.637mm","21.971mm","32.637mm","21.971mm","32.637mm","22.391mm","2","T","270","Yes","100nF","100nF"
"C17","CL05B104KB54PNC","C0402","40.513mm","21.336mm","40.513mm","21.336mm","40.513mm","21.756mm","2","T","270","Yes","100nF","100nF"
